date,site,temps,temperature,pluie,courant,ecoli,enterocoques
03/06/2024,bercy,soleil,16,0,450,1785.0,209.0
03/06/2024,marie,soleil,16,0,450,1291.0,246.0
03/06/2024,alexandre,soleil,16,0,450,1354.0,250.0
03/06/2024,grenelle,soleil,16,0,450,1145.0,272.0
04/06/2024,bercy,soleil,19,0,443,1892.0,241.0
04/06/2024,marie,soleil,19,0,443,1725.0,420.0
04/06/2024,alexandre,soleil,19,0,443,1664.0,175.0
04/06/2024,grenelle,soleil,19,0,443,3448.0,345.0
05/06/2024,bercy,soleil,17,0,429,7701.0,435.0
05/06/2024,marie,soleil,17,0,429,1616.0,181.0
05/06/2024,alexandre,soleil,17,0,429,1658.0,199.0
05/06/2024,grenelle,soleil,17,0,429,3255.0,109.0
06/06/2024,bercy,soleil,16,0,388,1439.0,160.0
06/06/2024,marie,soleil,16,0,388,1396.0,134.0
06/06/2024,alexandre,soleil,16,0,388,1314.0,122.0
06/06/2024,grenelle,soleil,16,0,388,2909.0,218.0
07/06/2024,bercy,soleil,17,0,340,1014.0,146.0
07/06/2024,marie,soleil,17,0,340,1259.0,85.0
07/06/2024,alexandre,soleil,17,0,340,1725.0,272.0
07/06/2024,grenelle,soleil,17,0,340,2851.0,253.0
08/06/2024,bercy,soleil,17,0,339,1918.0,171.0
08/06/2024,marie,soleil,17,0,339,1130.0,109.0
08/06/2024,alexandre,soleil,17,0,339,1137.0,52.0
08/06/2024,grenelle,soleil,17,0,339,1043.0,110.0
09/06/2024,bercy,nuageux,16,0,337,882.0,75.0
09/06/2024,marie,nuageux,16,0,337,801.0,74.0
09/06/2024,alexandre,nuageux,16,0,337,794.0,110.0
09/06/2024,grenelle,nuageux,16,0,337,41.0,109.0
10/06/2024,bercy,nuageux,14,1,332,677.0,74.0
10/06/2024,marie,nuageux,14,1,332,,
10/06/2024,alexandre,nuageux,14,1,332,1396.0,288.0
10/06/2024,grenelle,nuageux,14,1,332,2046.0,216.0
11/06/2024,bercy,nuageux,14,0,319,4884.0,504.0
11/06/2024,marie,nuageux,14,0,319,1850.0,134.0
11/06/2024,alexandre,nuageux,14,0,319,2382.0,355.0
11/06/2024,grenelle,nuageux,14,0,319,2014.0,327.0
12/06/2024,bercy,soleil,14,0,308,2755.0,504.0
12/06/2024,marie,soleil,14,0,308,1989.0,213.0
12/06/2024,alexandre,soleil,14,0,308,1789.0,161.0
12/06/2024,grenelle,soleil,14,0,308,2909.0,146.0
13/06/2024,bercy,pluie,16,"0,2",321,2613.0,259.0
13/06/2024,marie,pluie,16,"0,2",321,1354.0,97.0
13/06/2024,alexandre,pluie,16,"0,2",321,2603.0,74.0
13/06/2024,grenelle,pluie,16,"0,2",321,1565.0,85.0
14/06/2024,bercy,pluie,17,"1,8",280,1014.0,74.0
14/06/2024,marie,pluie,17,"1,8",280,1314.0,84.0
14/06/2024,alexandre,pluie,17,"1,8",280,1439.0,97.0
14/06/2024,grenelle,pluie,17,"1,8",280,2247.0,259.0
15/06/2024,bercy,pluie,15,4,287,4884.0,428.0
15/06/2024,marie,pluie,15,4,287,1178.0,134.0
15/06/2024,alexandre,pluie,15,4,287,1597.0,85.0
15/06/2024,grenelle,pluie,15,4,287,3448.0,158.0
16/06/2024,bercy,nuageux,15,"2,4",306,5475.0,435.0
16/06/2024,marie,nuageux,15,"2,4",306,1723.0,158.0
16/06/2024,alexandre,nuageux,15,"2,4",306,2382.0,305.0
16/06/2024,grenelle,nuageux,15,"2,4",306,2224.0,173.0
17/06/2024,bercy,pluie,19,"9,8",298,3255.0,253.0
17/06/2024,marie,pluie,19,"9,8",298,2613.0,305.0
17/06/2024,alexandre,pluie,19,"9,8",298,1968.0,134.0
17/06/2024,grenelle,pluie,19,"9,8",298,2603.0,315.0
18/06/2024,bercy,pluie,19,"5,5",351,7270.0,495.0
18/06/2024,marie,pluie,19,"5,5",351,1785.0,759.0
18/06/2024,alexandre,pluie,19,"5,5",351,9804.0,2035.0
18/06/2024,grenelle,pluie,19,"5,5",351,5475.0,583.0
19/06/2024,bercy,nuageux,18,0,305,6131.0,836.0
19/06/2024,marie,nuageux,18,0,305,10462.0,1081.0
19/06/2024,alexandre,nuageux,18,0,305,6131.0,616.0
19/06/2024,grenelle,nuageux,18,0,305,12997.0,1439.0
20/06/2024,bercy,nuageux,19,"0,6",312,4611.0,275.0
20/06/2024,marie,nuageux,19,"0,6",312,3255.0,193.0
20/06/2024,alexandre,nuageux,19,"0,6",312,2489.0,161.0
20/06/2024,grenelle,nuageux,19,"0,6",312,2755.0,269.0
21/06/2024,bercy,pluie,19,"3,8",516,1785.0,110.0
21/06/2024,marie,pluie,19,"3,8",516,5172.0,315.0
21/06/2024,alexandre,pluie,19,"3,8",516,1467.0,148.0
21/06/2024,grenelle,pluie,19,"3,8",516,3076.0,481.0
22/06/2024,bercy,pluie,17,"1,8",605,2143.0,132.0
22/06/2024,marie,pluie,17,"1,8",605,1374.0,135.0
22/06/2024,alexandre,pluie,17,"1,8",605,1782.0,134.0
22/06/2024,grenelle,pluie,17,"1,8",605,2851.0,318.0
23/06/2024,bercy,soleil,19,0,666,1624.0,450.0
23/06/2024,marie,soleil,19,0,666,3255.0,581.0
23/06/2024,alexandre,soleil,19,0,666,3654.0,1095.0
23/06/2024,grenelle,soleil,19,0,666,5172.0,733.0
24/06/2024,bercy,soleil,22,0,605,1014.0,243.0
24/06/2024,marie,soleil,22,0,605,2359.0,160.0
24/06/2024,alexandre,soleil,22,0,605,1250.0,160.0
24/06/2024,grenelle,soleil,22,0,605,2143.0,529.0
25/06/2024,bercy,soleil,25,0,568,1046.0,171.0
25/06/2024,marie,soleil,25,0,568,1169.0,197.0
25/06/2024,alexandre,soleil,25,0,568,1935.0,161.0
25/06/2024,grenelle,soleil,25,0,568,1785.0,446.0
26/06/2024,bercy,soleil,25,0,487,733.0,98.0
26/06/2024,marie,soleil,25,0,487,908.0,121.0
26/06/2024,alexandre,soleil,25,0,487,537.0,
26/06/2024,grenelle,soleil,25,0,487,613.0,63.0
27/06/2024,bercy,nuageux,25,0,428,627.0,97.0
27/06/2024,marie,nuageux,25,0,428,2098.0,109.0
27/06/2024,alexandre,nuageux,25,0,428,727.0,63.0
27/06/2024,grenelle,nuageux,25,0,428,537.0,10.0
28/06/2024,bercy,nuageux,19,0,432,798.0,75.0
28/06/2024,marie,nuageux,19,0,432,754.0,63.0
28/06/2024,alexandre,nuageux,19,0,432,602.0,10.0
28/06/2024,grenelle,nuageux,19,0,432,733.0,97.0
29/06/2024,bercy,pluie,19,"0,6",392,657.0,63.0
29/06/2024,marie,pluie,19,"0,6",392,480.0,51.0
29/06/2024,alexandre,pluie,19,"0,6",392,441.0,41.0
29/06/2024,grenelle,pluie,19,"0,6",392,512.0,75.0
30/06/2024,bercy,nuageux,20,0,407,3076.0,833.0
30/06/2024,marie,nuageux,20,0,407,1956.0,295.0
30/06/2024,alexandre,nuageux,20,0,407,2014.0,393.0
30/06/2024,grenelle,nuageux,20,0,407,1187.0,292.0
01/07/2024,bercy,soleil,18,0,477,1137.0,41.0
01/07/2024,marie,soleil,18,0,477,816.0,98.0
01/07/2024,alexandre,soleil,18,0,477,813.0,86.0
01/07/2024,grenelle,soleil,18,0,477,908.0,41.0
02/07/2024,bercy,pluie,17,"6,2",556,336.0,74.0
02/07/2024,marie,pluie,17,"6,2",556,638.0,63.0
02/07/2024,alexandre,pluie,17,"6,2",556,556.0,63.0
02/07/2024,grenelle,pluie,17,"6,2",556,435.0,109.0
03/07/2024,bercy,pluie,17,"0,6",551,985.0,135.0
03/07/2024,marie,pluie,17,"0,6",551,631.0,75.0
03/07/2024,alexandre,pluie,17,"0,6",551,1223.0,183.0
03/07/2024,grenelle,pluie,17,"0,6",551,816.0,134.0
04/07/2024,bercy,soleil,18,0,520,2851.0,226.0
04/07/2024,marie,soleil,18,0,520,723.0,120.0
04/07/2024,alexandre,soleil,18,0,520,733.0,158.0
04/07/2024,grenelle,soleil,18,0,520,882.0,171.0
05/07/2024,bercy,nuageux,20,0,504,776.0,75.0
05/07/2024,marie,nuageux,20,0,504,771.0,213.0
05/07/2024,alexandre,nuageux,20,0,504,759.0,63.0
05/07/2024,grenelle,nuageux,20,0,504,1162.0,52.0
06/07/2024,bercy,pluie,18,"1,4",505,908.0,148.0
06/07/2024,marie,pluie,18,"1,4",505,573.0,75.0
06/07/2024,alexandre,pluie,18,"1,4",505,683.0,134.0
06/07/2024,grenelle,pluie,18,"1,4",505,441.0,98.0
07/07/2024,bercy,soleil,17,0,488,959.0,259.0
07/07/2024,marie,soleil,17,0,488,1246.0,201.0
07/07/2024,alexandre,soleil,17,0,488,464.0,41.0
07/07/2024,grenelle,soleil,17,0,488,2723.0,364.0
08/07/2024,bercy,nuageux,20,0,484,670.0,74.0
08/07/2024,marie,nuageux,20,0,484,888.0,181.0
08/07/2024,alexandre,nuageux,20,0,484,613.0,77.0
08/07/2024,grenelle,nuageux,20,0,484,538.0,75.0
09/07/2024,bercy,pluie,"21,7","2,8",508,1106.0,201.0
09/07/2024,marie,pluie,"21,7","2,8",508,455.0,63.0
09/07/2024,alexandre,pluie,"21,7","2,8",508,687.0,110.0
09/07/2024,grenelle,pluie,"21,7","2,8",508,426.0,160.0
10/07/2024,bercy,,,,,,
10/07/2024,marie,,,,,,
10/07/2024,alexandre,,,,,,
10/07/2024,grenelle,,,,,,
11/07/2024,bercy,,,,,,
11/07/2024,marie,,,,,,
11/07/2024,alexandre,,,,,,
11/07/2024,grenelle,,,,,,
12/07/2024,bercy,,,,,,
12/07/2024,marie,,,,,,
12/07/2024,alexandre,,,,,,
12/07/2024,grenelle,,,,,,
13/07/2024,bercy,,,,,,
13/07/2024,marie,,,,,,
13/07/2024,alexandre,,,,,,
13/07/2024,grenelle,,,,,,
14/07/2024,bercy,,,,,,
14/07/2024,marie,,,,,,
14/07/2024,alexandre,,,,,,
14/07/2024,grenelle,,,,,,
